genus,mean_abs_shap
Akkermansia,0.0
Acidiferrobacter,0.0
Acidaminococcus,0.0
Turicibacter,0.0
Geobacter,0.0
Yersinia,0.0
Megamonas,0.0
Mageeibacillus,0.0
Liberibacter,0.0
Longicatena,0.0
Libanicoccus,0.0
Kiritimatiella,0.0
Flavonifractor,0.0
Klebsiella,0.0
Devosia,0.0
Draconibacterium,0.0
Desulfovibrio,0.0
Muricauda,0.0
Melioribacter,0.0
Muribaculum,0.0
Erysipelothrix,0.0
Massilia,0.0
Magnetospira,0.0
Jeotgalibaca,0.0
Gemmatimonas,0.0
Fusobacterium,0.0
Kineothrix,0.0
Ethanoligenens,0.0
Faecalibacterium,0.0
Hungateiclostridium,0.0
Homo,0.0
Herbinix,0.0
Hungatella,0.0
Gordonibacter,0.0
Halomicrobium,0.0
Haemophilus,0.0
Coriobacterium,0.0
Coraliomargarita,0.0
Coprobacter,0.0
Comamonas,0.0
Cloacibacillus,0.0
Collinsella,0.0
Paenibacillus,0.0
Oscillibacter,0.0
Niabella,0.0
Oenococcus,0.0
Novibacillus,0.0
Nitrospira,0.0
Enterobacter,0.0
Enterococcus,0.0
Erwinia,0.0
Dehalococcoides,0.0
Candidatus Sulcia,0.0
Candidatus Purcelliella,0.0
Candidatus Promineofilum,0.0
Candidatus Phytoplasma,0.0
Propionimicrobium,0.0
Pseudarcicella,0.0
Chloroflexus,0.0
Caulobacter,0.0
Phascolarctobacterium,0.0
Photobacterium,0.0
Porphyromonas,0.0
Desulfofarcimen,0.0
Parabacteroides,0.0
Paraphotobacterium,0.0
Peptoclostridium,0.0
Peptoniphilus,0.0
Campylobacter,0.0
Butyrivibrio,0.0
Burkholderia,0.0
Salmonella,0.0
Roseburia,0.0
Ruminococcus,0.0
Pseudomonas,0.0
Psychrobacter,0.0
Shewanella,0.0
Selenomonas,0.0
Candidatus Nucleicultrix,0.0
Candidatus Izimaplasma,0.0
Sphingobium,0.0
Candidatus Amoebophilus,0.0
Candidatus Fukatsuia,0.0
Candidatus Hamiltonella,0.0
Shigella,0.0
Sneathia,0.0
Sodalis,0.0
Anoxybacillus,0.0
Barnesiella,0.0
Bartonella,0.0
Asticcacaulis,0.0
Bacteroides,0.0
Symbiobacterium,0.0
Bifidobacterium,0.0
Thermodesulfatator,0.0
Tessaracoccus,0.0
Thermus,0.0
Thioflavicoccus,0.0
Acetoanaerobium,0.0
uncultured,0.0
