filename,label
spec_000.npy,neutral
spec_001.npy,neutral
spec_002.npy,neutral
spec_003.npy,neutral
spec_004.npy,neutral
spec_005.npy,neutral
spec_006.npy,neutral
spec_007.npy,neutral
spec_008.npy,neutral
spec_009.npy,neutral
spec_010.npy,neutral
spec_011.npy,neutral
spec_012.npy,neutral
spec_013.npy,neutral
spec_014.npy,neutral
spec_015.npy,neutral
spec_016.npy,neutral
spec_017.npy,neutral
spec_018.npy,neutral
spec_019.npy,neutral
spec_020.npy,trustworthy
spec_021.npy,trustworthy
spec_022.npy,trustworthy
spec_023.npy,trustworthy
spec_024.npy,trustworthy
spec_025.npy,trustworthy
spec_026.npy,trustworthy
spec_027.npy,trustworthy
spec_028.npy,trustworthy
spec_029.npy,trustworthy
spec_030.npy,trustworthy
spec_031.npy,trustworthy
spec_032.npy,trustworthy
spec_033.npy,trustworthy
spec_034.npy,trustworthy
spec_035.npy,trustworthy
spec_036.npy,trustworthy
spec_037.npy,trustworthy
spec_038.npy,trustworthy
spec_039.npy,trustworthy
